task_id,eligible_count
T0001,11
T0002,8
T0003,8
T0004,14
T0005,15
T0006,14
T0007,7
T0008,6
T0009,7
T0010,13
T0011,12
T0012,11
T0013,9
T0014,8
T0015,9
T0016,7
T0017,6
T0018,6
T0019,16
T0020,15
T0021,14
T0022,10
T0023,7
T0024,9
T0025,8
T0026,10
T0027,9
T0028,3
T0029,3
T0030,5
T0031,13
T0032,14
T0033,14
T0034,11
T0035,12
T0036,12
T0037,17
T0038,17
T0039,18
T0040,8
T0041,9
T0042,7
T0043,11
T0044,9
T0045,9
T0046,11
T0047,9
T0048,12
T0049,10
T0050,11
T0051,10
T0052,8
T0053,8
T0054,9
T0055,12
T0056,12
T0057,11
T0058,11
T0059,11
T0060,12
